fecha,mes,trimestre,productividad_manufactura,unidades_producidas_dia,tasa_defectos_porcentaje,tiempo_ciclo_horas,costo_operacional_millones,costo_tecnologia_millones,costo_capacitacion_miles,ahorro_eficiencia_millones,nps_score,tiempo_entrega_dias,tasa_reclamos_porcentaje,recompra_porcentaje,empleados_capacitados_porcentaje,procesos_digitalizados_porcentaje,uso_plataforma_digital_porcentaje,tickets_soporte_mes,roi_transformacion_porcentaje,madurez_digital_score,resistencia_cambio_score,innovacion_index,rotacion_personal_porcentaje,satisfaccion_empleados_score,horas_extra_promedio,vacantes_tech_sin_cubrir,tasa_adopcion_sistemas_porcentaje,inversion_transformacion_millones
2023-09-03,2023-09,Q3 2023,71.66,448,4.01,8.34,13.68,0.48,30.4,-0.1,41,7.1,8.49,61.1,1.5,15.1,0.1,45.0,-15.4,1.9,7,36,11.9,67,5.2,2,0.1,1.33
2023-09-10,2023-09,Q3 2023,71.36,448,4.23,8.49,14.09,0.48,24.4,-0.09,42,7.3,8.39,62.0,0.8,14.5,1.0,,-13.3,2.04,7,37,11.6,68,5.3,1,5.3,1.15
2023-09-17,2023-09,Q3 2023,71.36,447,4.26,,13.74,0.48,18.4,-0.1,41,7.2,8.6,65.2,1.2,14.5,1.1,45.0,-15.4,2.0,7,36,13.0,67,5.8,2,0.8,1.47
2023-09-24,2023-09,Q3 2023,71.57,449,4.07,8.52,13.84,0.48,26.0,-0.1,41,7.2,8.21,64.6,5.3,14.5,0.1,63.0,-14.8,1.9,7,37,11.6,68,5.1,2,0.1,1.23
2023-10-01,2023-10,Q4 2023,70.93,451,4.22,8.45,13.96,0.64,18.0,-0.1,40,7.3,8.06,62.7,0.4,17.6,2.5,45.0,-14.1,2.09,7,36,12.9,67,4.8,2,1.4,1.27
2023-10-08,2023-10,Q4 2023,70.98,455,4.21,8.48,13.82,0.66,18.0,-0.1,41,7.0,8.59,62.1,0.9,14.5,0.2,45.0,-15.5,1.94,7,35,13.1,68,5.0,2,1.7,1.3
2023-10-15,2023-10,Q4 2023,71.33,450,4.03,8.46,14.13,0.48,18.0,-0.1,40,7.3,8.4,62.2,2.6,14.5,0.1,46.0,-15.5,1.94,7,34,12.4,67,4.8,2,0.1,1.26
2023-10-22,2023-10,Q4 2023,71.2,450,4.25,8.45,14.16,0.56,,-0.1,41,7.2,8.3,62.9,2.7,14.5,1.6,45.0,-15.5,2.02,7,34,13.6,69,4.8,2,0.4,1.33
2023-10-29,2023-10,Q4 2023,71.6,449,4.28,8.57,14.36,0.53,18.5,-0.1,43,7.3,8.6,60.5,2.9,16.3,0.1,45.0,-13.7,2.09,7,34,12.9,67,4.9,2,,1.11
2023-11-05,2023-11,Q4 2023,71.23,445,4.3,8.53,14.44,0.81,20.5,-0.1,41,7.2,8.55,61.6,1.8,14.6,0.6,57.0,-15.5,1.92,7,38,13.3,65,4.8,1,3.5,1.12
2023-11-12,2023-11,q4 2023,71.08,449,4.3,8.44,14.71,0.61,29.0,-0.1,44,7.3,8.38,60.5,0.2,16.9,0.5,45.0,-12.4,2.01,7,34,13.4,69,5.0,1,0.1,1.04
2023-11-19,2023-11,Q4 2023,71.95,450,3.99,8.57,14.6,0.49,22.6,-0.1,42,7.1,8.24,62.6,3.8,14.5,2.7,45.0,-15.5,2.03,7,35,13.3,66,4.8,2,0.1,1.27
2023-11-26,2023-11,Q4 2023,71.45,457,4.06,8.52,14.39,0.48,20.4,-0.1,42,7.1,8.6,63.0,0.2,15.4,1.5,52.0,-14.8,2.06,7,35,13.9,67,5.3,2,3.6,1.32
2023-12-03,2023-12,Q4 2023,71.54,449,4.27,8.56,14.36,0.48,26.5,-0.1,41,7.1,8.6,61.3,1.3,14.5,0.5,,-13.4,2.01,7,35,14.0,67,5.0,1,0.1,1.27
2023-12-10,2023-12,Q4 2023,71.11,451,4.27,8.54,14.57,0.52,18.0,-0.1,42,7.1,8.47,64.4,0.2,18.2,2.1,55.0,-12.9,1.97,7,37,12.9,69,5.0,1,3.9,1.46
2023-12-17,2023-12,Q4 2023,71.39,450,4.27,8.42,14.3,0.48,26.7,-0.1,41,7.1,8.6,60.5,0.8,14.5,3.3,59.0,-12.9,1.93,7,34,14.5,65,4.9,2,0.1,1.21
2023-12-24,2023-12,Q4 2023,71.62,447,4.3,8.44,14.76,0.48,32.2,-0.1,42,7.3,8.25,60.5,1.7,15.5,1.6,45.0,-13.7,2.01,7,35,13.1,70,5.1,2,3.6,1.32
2023-12-31,2023-12,Q4 2023,71.29,454,4.26,8.53,14.64,0.48,25.3,-0.1,44,7.3,8.14,62.4,2.0,16.0,0.5,45.0,-13.8,1.92,7,34,14.5,68,5.3,2,0.1,1.06
2024-01-07,2024-01,Q1 2024,71.82,454,4.3,8.5,14.36,0.48,44.6,-0.1,41,7.1,8.28,63.7,2.7,15.8,0.1,74.0,-14.2,1.9,7,34,14.7,67,4.8,2,1.6,1.18
2024-01-14,2024-01,Q1 2024,71.64,455,4.28,8.43,14.13,0.68,49.4,-0.1,43,7.0,8.36,64.7,5.8,14.9,0.1,63.0,-13.9,2.04,7,34,13.6,67,5.0,2,0.1,1.36
2024-01-21,2024-01,Q1 2024,71.9,452,4.2,8.41,14.54,0.6,57.8,-0.1,41,7.2,8.35,61.6,4.6,15.1,0.1,75.0,-15.1,2.08,7,35,14.0,67,5.2,3,0.1,1.41
2024-01-28,2024-01,q1 2024,72.06,462,4.0,,14.26,0.51,78.7,-0.1,42,7.0,8.16,64.0,4.9,15.6,0.1,108.0,-15.2,1.9,7,34,13.8,67,5.0,2,0.1,1.28
2024-02-04,2024-02,Q1 2024,73.17,457,4.09,8.21,14.39,0.67,105.8,-0.1,44,7.1,8.12,62.5,9.8,15.6,0.3,456.0,-14.2,1.94,7,34,14.2,67,5.3,2,1.7,1.38
2024-02-11,2024-02,Q1 2024,73.15,469,3.75,8.19,13.89,0.53,116.6,-0.1,41,6.9,7.59,62.5,13.9,17.6,0.8,147.0,-14.1,2.08,7,34,14.2,66,5.7,3,1.1,1.25
2024-02-12,2024-02,Q1 2024,73.15,469,3.75,8.19,13.89,0.53,116.6,-0.1,41,6.9,7.59,62.5,13.9,17.6,0.8,147.0,-14.1,2.08,7,34,14.2,66,5.7,3,1.1,1.25
2024-02-18,2024-02,Q1 2024,73.59,482,3.68,7.97,13.96,0.48,138.5,-0.1,44,6.5,7.82,64.3,14.0,20.1,1.9,192.0,-13.9,2.22,7,35,14.8,65,6.6,4,3.2,1.55
2024-02-25,2024-02,Q1 2024,75.17,483,3.44,7.75,13.96,0.7,155.0,-0.1,43,6.8,7.11,64.3,24.4,16.9,0.8,188.0,-12.2,2.08,7,34,15.1,64,6.9,6,4.9,1.9
2024-03-03,2024-03,Q1 2024,75.84,498,3.27,7.58,13.87,0.62,170.1,-0.1,42,6.6,6.84,61.4,33.1,17.1,2.2,222.0,-11.3,2.06,7,38,15.2,63,7.6,8,0.1,2.07
2024-03-10,2024-03,q1 2024,77.77,516,3.31,7.24,13.69,0.49,192.0,-0.1,44,5.9,6.09,66.6,41.1,21.1,1.8,227.0,-11.2,2.16,7,38,14.2,62,8.6,9,,2.31
2024-03-17,2024-03,q1 2024,78.74,531,2.35,6.9,13.75,0.61,193.6,-0.1,46,5.7,5.46,67.1,55.2,28.1,0.1,238.0,-8.7,2.37,6,37,14.4,63,9.1,11,0.3,2.51
2024-03-24,2024-03,Q1 2024,80.51,545,2.42,6.6,13.38,0.58,205.5,-0.1,47,5.5,4.85,65.0,62.6,27.2,1.3,256.0,-9.9,2.32,7,41,13.7,61,10.1,12,0.1,2.77
2024-03-31,2024-03,Q1 2024,82.4,565,1.79,6.19,13.4,0.59,207.7,-0.03,46,5.2,4.25,67.6,72.6,36.2,4.3,,-7.3,2.46,7,44,14.1,56,10.6,14,2.1,2.91
2024-04-07,2024-04,Q2 2024,83.73,574,1.73,5.99,13.31,0.9,215.9,-0.09,50,5.1,3.82,68.9,79.8,42.9,4.3,252.0,-6.0,2.67,6,49,15.0,59,11.3,16,4.3,3.31
2024-04-14,2024-04,Q2 2024,84.47,589,1.78,5.72,13.25,1.1,,0.17,53,5.1,3.6,69.9,86.2,47.0,10.9,258.0,-5.2,2.84,6,55,15.2,58,11.3,17,13.8,3.42
2024-04-21,2024-04,Q2 2024,85.05,592,1.49,5.63,13.15,0.89,222.4,0.21,56,4.6,3.11,70.0,88.4,56.5,17.0,245.0,-1.4,3.14,6,54,13.8,57,10.9,18,18.5,3.54
2024-04-28,2024-04,Q2 2024,85.46,604,1.23,5.49,12.74,1.24,215.6,0.35,59,4.5,3.02,71.0,90.8,65.5,22.1,240.0,0.6,3.46,6,61,14.1,56,11.6,19,27.4,3.46
2024-04-29,2024-04,Q2 2024,85.46,604,1.23,5.49,12.74,1.24,215.6,0.35,59,4.5,3.02,71.0,90.8,65.5,22.1,240.0,0.6,3.46,6,61,14.1,56,11.6,19,27.4,3.46
2024-05-05,2024-05,Q2 2024,85.43,600,1.22,5.44,12.54,1.29,217.5,0.61,61,4.3,2.73,73.2,99.0,68.9,26.7,,4.0,3.54,5,64,14.3,58,11.9,18,26.4,3.27
2024-05-12,2024-05,Q2 2024,85.87,604,8.51,5.44,12.83,1.5,,0.78,61,4.4,2.95,76.0,95.6,74.2,38.9,230.0,4.7,3.63,5,69,14.4,57,11.4,19,42.7,3.8
2024-05-19,2024-05,Q2 2024,86.09,609,1.2,5.3,12.55,1.69,217.3,0.92,64,4.4,2.47,75.9,96.2,77.5,45.8,270.0,4.4,3.74,5,70,13.8,55,11.1,19,47.9,3.58
2024-05-26,2024-05,Q2 2024,86.64,604,1.27,5.5,12.3,1.87,221.6,1.24,65,4.7,2.93,75.2,94.5,79.7,54.5,238.0,8.4,3.71,4,70,21.2,56,10.9,20,60.6,3.54
2024-06-02,2024-06,Q2 2024,86.49,609,1.23,5.3,12.46,2.15,223.6,1.26,66,4.3,2.54,77.5,98.0,82.2,62.7,247.0,8.6,3.96,4,72,13.8,55,10.2,20,70.7,3.78
2024-06-09,2024-06,Q2 2024,85.9,613,1.2,5.3,12.3,2.23,215.3,1.57,67,4.4,2.24,72.5,96.9,82.6,70.7,247.0,8.6,3.92,3,72,14.0,55,9.9,19,76.9,3.63
2024-06-16,2024-06,Q2 2024,86.55,604,1.53,5.4,12.3,2.49,,1.71,67,4.4,2.54,78.8,99.8,85.4,76.3,252.0,8.3,3.94,3,75,14.2,55,9.4,19,78.7,3.8
2024-06-23,2024-06,Q2 2024,86.35,610,1.3,5.37,12.3,2.59,226.7,1.77,67,4.6,2.38,74.7,99.8,84.8,81.7,258.0,8.0,4.05,3,74,13.8,57,9.2,19,90.2,3.79
2024-06-30,2024-06,Q2 2024,86.28,610,1.2,5.35,12.3,2.67,222.0,1.92,66,4.8,2.68,77.0,98.5,86.6,84.6,258.0,8.9,4.0,3,75,13.5,57,9.3,19,94.0,3.8
2024-07-01,2024-06,Q2 2024,86.28,610,1.2,5.35,12.3,2.67,222.0,1.92,66,4.8,2.68,77.0,98.5,86.6,84.6,258.0,8.9,4.0,3,75,13.5,57,9.3,19,94.0,3.8
2024-07-07,2024-07,Q3 2024,86.67,612,1.23,5.35,12.3,2.68,229.4,1.87,65,4.3,2.37,76.0,99.8,84.2,86.4,243.0,10.5,3.93,2,74,13.5,56,9.3,20,95.9,3.49
2024-07-14,2024-07,Q3 2024,86.8,606,1.2,5.3,12.3,2.77,216.1,2.1,67,4.3,2.41,75.8,99.8,86.8,88.7,247.0,11.5,3.96,3,73,13.4,56,8.8,20,99.0,3.8
2024-07-21,2024-07,Q3 2024,86.77,605,1.33,,12.3,2.95,213.8,2.06,67,4.6,2.12,79.5,99.3,86.8,89.5,252.0,11.3,4.05,2,72,13.2,56,8.6,19,96.3,3.74
2024-07-28,2024-07,Q3 2024,86.24,611,1.2,5.31,12.3,2.95,211.1,2.07,67,4.5,2.41,77.2,95.0,83.9,89.5,246.0,9.3,4.01,2,72,13.1,55,8.7,19,99.0,3.64
2024-08-04,2024-08,Q3 2024,86.4,610,1.2,5.3,12.3,2.83,227.5,2.22,65,4.7,2.02,78.4,99.8,86.8,86.8,265.0,8.7,3.88,2,72,13.9,,8.8,20,97.8,3.72
2024-08-11,2024-08,q3 2024,86.6,610,1.28,5.38,12.3,2.95,223.3,2.09,65,4.5,2.18,77.9,97.2,86.8,84.9,254.0,10.0,4.05,2,75,13.2,56,8.2,19,89.8,3.43
2024-08-18,2024-08,Q3 2024,86.79,611,1.33,5.3,12.3,2.95,219.7,2.05,68,4.3,2.65,78.7,96.7,85.2,89.5,,8.2,3.95,2,75,12.6,56,7.9,20,99.0,3.76
2024-08-25,2024-08,Q3 2024,86.36,607,1.2,5.3,12.3,2.81,,2.05,66,4.5,2.66,78.1,99.8,86.8,87.6,255.0,10.3,4.05,2,72,13.0,57,8.4,19,95.3,3.55
2024-09-01,2024-09,Q3 2024,86.44,610,1.2,5.3,12.3,2.95,214.4,2.23,67,4.6,2.59,76.0,99.8,86.8,89.5,260.0,9.8,4.05,2,75,12.3,56,8.2,20,98.3,3.5
2024-09-08,2024-09,Q3 2024,86.17,610,1.2,5.33,12.3,2.92,230.0,2.08,67,4.5,2.31,79.5,99.8,85.9,88.1,250.0,9.5,3.96,2,74,12.9,56,8.4,20,97.6,3.47
2024-09-15,2024-09,Q3 2024,86.14,607,1.2,5.3,12.3,2.95,220.6,2.33,67,4.5,2.49,77.2,99.8,86.8,86.8,235.0,8.4,4.05,2,75,12.3,57,8.5,20,94.6,3.8
2024-09-22,2024-09,Q3 2024,86.74,615,1.46,,12.3,2.92,220.5,2.03,67,4.6,2.5,75.7,99.8,86.8,89.5,252.0,10.5,4.01,2,75,11.9,55,8.4,19,97.1,3.61
2024-09-29,2024-09,Q3 2024,86.91,611,1.26,5.32,12.3,2.81,223.6,2.33,66,4.6,2.27,77.4,99.8,86.8,89.5,241.0,9.5,4.05,2,75,12.0,55,8.9,19,98.5,3.8
2024-10-06,2024-10,Q4 2024,86.48,606,1.2,5.32,12.3,2.83,222.4,2.21,67,4.6,2.8,79.5,99.8,86.8,89.3,242.0,8.8,4.04,2,74,10.8,55,8.6,19,96.1,3.62
2024-10-13,2024-10,Q4 2024,86.8,611,1.34,5.3,12.3,2.95,221.1,2.19,66,4.5,2.68,79.3,99.8,85.6,85.3,428.0,7.1,3.93,2,73,10.9,55,8.6,20,91.7,3.44
2024-10-20,2024-10,Q4 2024,86.61,607,1.52,5.3,12.3,2.95,216.0,2.15,66,4.4,2.46,77.5,99.8,86.8,89.4,259.0,10.0,3.95,2,71,10.6,55,8.7,18,99.0,3.53
2024-10-27,2024-10,Q4 2024,86.31,612,1.35,5.32,12.3,2.91,222.4,2.23,66,4.4,2.51,77.5,99.8,84.9,89.5,247.0,11.8,4.05,2,73,11.1,55,8.2,20,96.2,3.8
2024-11-03,2024-11,Q4 2024,86.61,613,1.2,5.3,12.3,2.95,229.4,2.2,67,4.6,2.54,77.5,98.5,86.8,87.5,249.0,11.7,3.97,2,74,11.7,55,8.8,19,97.6,3.68
2024-11-10,2024-11,Q4 2024,86.96,607,1.2,5.3,12.3,2.83,226.7,2.29,66,4.3,2.09,79.5,99.4,85.6,89.5,263.0,9.5,3.97,2,73,11.7,55,8.5,19,99.0,3.62
2024-11-17,2024-11,Q4 2024,86.49,612,1.39,5.3,12.3,2.95,,2.21,68,4.5,2.45,78.6,96.6,85.9,89.5,248.0,9.4,3.92,2,74,10.7,55,8.7,19,95.0,3.72
2024-11-24,2024-11,Q4 2024,86.97,611,1.2,5.3,12.3,2.88,217.4,2.21,66,4.3,2.36,78.6,99.8,86.8,89.5,486.0,10.5,4.03,2,75,10.5,56,8.2,20,97.1,3.78
2024-12-01,2024-12,Q4 2024,85.71,612,1.27,5.32,12.3,2.93,215.1,2.17,66,4.4,2.3,79.5,98.0,86.8,89.5,251.0,9.0,4.05,2,74,9.1,56,8.0,19,99.0,3.8
2024-12-08,2024-12,Q4 2024,86.75,615,1.32,5.42,12.3,2.95,219.4,2.2,66,4.6,2.44,78.4,97.8,86.8,88.6,227.0,10.3,3.91,2,74,9.5,55,8.7,20,95.4,3.8
2024-12-15,2024-12,Q4 2024,86.53,609,1.2,5.37,12.3,2.91,220.3,2.22,68,4.4,2.86,77.6,99.8,85.4,89.5,252.0,10.8,4.0,2,75,9.2,56,8.6,20,97.5,3.65
2024-12-16,2024-12,Q4 2024,86.53,609,1.2,5.37,12.3,2.91,220.3,2.22,68,4.4,2.86,77.6,99.8,85.4,89.5,252.0,10.8,4.0,2,75,9.2,56,8.6,20,97.5,3.65
2024-12-22,2024-12,Q4 2024,86.41,607,1.2,5.3,12.3,2.95,225.5,2.06,67,4.4,2.63,77.7,99.8,86.5,89.5,248.0,11.2,4.05,2,75,20.5,57,8.2,19,99.0,3.5
2024-12-29,2024-12,Q4 2024,86.53,607,1.2,5.3,12.3,2.95,211.5,2.09,68,4.2,2.39,77.9,99.8,86.8,89.5,,9.9,3.99,2,73,9.1,55,8.2,20,99.0,3.64
2025-01-05,2025-01,Q1 2025,85.9,607,1.2,5.3,12.3,2.94,227.6,2.26,65,4.5,2.61,77.9,96.9,86.8,88.6,486.0,9.8,4.04,2,75,8.7,55,8.8,19,97.0,3.74
2025-01-12,2025-01,Q1 2025,86.43,609,1.2,5.3,12.3,2.95,219.2,2.21,67,4.5,2.78,79.1,98.0,86.8,89.5,241.0,9.1,3.92,2,74,7.7,55,8.1,20,97.3,3.56
2025-01-19,2025-01,Q1 2025,86.61,611,1.2,5.3,12.3,2.89,217.9,2.19,67,4.7,2.68,78.1,99.8,86.8,88.7,230.0,9.2,4.03,2,75,8.9,55,9.0,20,99.0,3.56
2025-01-26,2025-01,Q1 2025,86.94,610,1.44,5.33,12.3,2.95,214.9,2.2,67,4.4,2.51,79.1,98.0,86.8,89.5,240.0,9.8,3.99,2,75,7.7,56,8.2,19,99.0,3.75
2025-02-02,2025-02,Q1 2025,86.34,612,1.2,5.3,12.3,2.95,211.7,2.23,68,4.4,2.37,77.9,99.6,86.5,89.5,233.0,10.4,4.05,2,75,8.2,55,8.7,20,99.0,3.69
2025-02-09,2025-02,Q1 2025,86.26,610,1.2,5.34,12.3,2.75,224.1,2.16,66,4.4,2.64,78.1,99.8,86.8,87.8,235.0,10.9,4.05,2,75,8.9,55,8.4,20,,3.7
2025-02-16,2025-02,Q1 2025,86.35,614,1.22,5.42,12.3,2.92,220.4,2.14,68,4.6,2.58,75.0,98.1,86.8,87.3,246.0,9.2,4.05,2,75,7.1,55,8.7,19,94.4,3.59
2025-02-23,2025-02,q1 2025,86.77,609,1.42,5.3,12.3,2.95,213.6,2.22,69,4.4,2.68,79.4,99.8,86.8,89.5,,11.5,4.05,2,74,17.1,56,8.3,20,96.8,3.67
2025-03-02,2025-03,Q1 2025,86.6,615,1.2,5.33,12.3,2.95,,2.12,66,4.4,2.63,78.5,97.3,86.8,89.5,244.0,9.7,4.03,2,75,7.0,55,8.5,19,99.0,3.56
2025-03-09,2025-03,Q1 2025,86.34,611,1.37,5.36,12.3,2.95,218.3,2.23,66,4.5,2.71,79.5,98.8,85.8,89.2,445.0,10.0,4.02,2,73,7.5,56,8.5,19,98.9,3.8
2025-03-16,2025-03,Q1 2025,86.65,607,1.2,5.3,12.3,2.94,228.3,2.06,68,4.4,2.39,73.7,99.8,85.0,89.5,243.0,9.3,3.97,2,75,7.7,,8.2,20,99.0,3.8
2025-03-23,2025-03,Q1 2025,86.53,606,1.2,5.32,12.3,2.95,218.7,2.28,68,4.3,2.76,79.5,96.8,84.2,89.3,250.0,7.6,4.03,2,74,6.5,57,8.7,20,99.0,3.42
2025-03-30,2025-03,Q1 2025,86.79,611,1.27,5.3,12.3,2.95,212.5,2.24,66,4.4,2.54,77.8,99.8,86.8,89.5,526.0,10.9,3.98,2,74,6.5,55,8.3,20,95.4,3.56
